Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,7.5,100,0.0024355999776162207,"[1, 1, 0, 0]",100,0.4,512
1,10.0,202,0.008354051999049261,"[0, 0, 0, 1]",100,0.4,512
2,10.0,303,0.014373001002240926,"[0, 0, 0, 1]",100,0.4,512
4,10.0,505,0.025897969986544922,"[0, 0, 0, 1]",100,0.4,512
8,10.0,909,0.04779482298181392,"[0, 0, 0, 1]",100,0.4,512
16,10.0,1717,0.09093794197542593,"[0, 0, 0, 1]",100,0.4,512
32,10.0,3333,0.1762848039797973,"[0, 0, 0, 1]",100,0.4,512
64,10.0,6565,0.3509550279995892,"[0, 0, 0, 1]",100,0.4,512
128,10.0,13029,0.7003781329840422,"[0, 0, 0, 1]",100,0.4,512
256,10.0,25957,1.3927432649943512,"[0, 0, 0, 1]",100,0.4,512
512,10.0,50702,2.7548955270031,"[0, 0, 0, 1]",100,0.4,512
0,7.5,100,0.0020486490102484822,"[1, 1, 0, 0]",100,0.5,512
1,10.0,202,0.009304192004492506,"[0, 0, 0, 1]",100,0.5,512
2,10.0,303,0.016497578006237745,"[0, 0, 0, 1]",100,0.5,512
4,10.0,505,0.028890365996630862,"[0, 0, 0, 1]",100,0.5,512
8,10.0,909,0.05222872301237658,"[0, 0, 0, 1]",100,0.5,512
16,10.0,1717,0.0982516280200798,"[0, 0, 0, 1]",100,0.5,512
32,10.0,3333,0.1865087189944461,"[0, 0, 0, 1]",100,0.5,512
64,10.0,6565,0.36103720701066777,"[0, 0, 0, 1]",100,0.5,512
128,10.0,13029,0.7103515170165338,"[0, 0, 0, 1]",100,0.5,512
256,10.0,25957,1.411243116017431,"[0, 0, 0, 1]",100,0.5,512
512,10.0,50702,2.7688761099998374,"[0, 0, 0, 1]",100,0.5,512
0,7.5,100,0.0019799289875663817,"[1, 1, 0, 0]",100,0.6,512
1,10.0,202,0.009364717989228666,"[0, 0, 0, 1]",100,0.6,512
2,10.0,303,0.016758868005126715,"[0, 0, 0, 1]",100,0.6,512
4,10.0,505,0.029599733999930322,"[0, 0, 0, 1]",100,0.6,512
8,10.0,909,0.05326433599111624,"[0, 0, 0, 1]",100,0.6,512
16,10.0,1717,0.09878280400880612,"[0, 0, 0, 1]",100,0.6,512
32,10.0,3333,0.18902883099508472,"[0, 0, 0, 1]",100,0.6,512
64,10.0,6565,0.36703613799181767,"[0, 0, 0, 1]",100,0.6,512
128,10.0,13029,0.7217033529886976,"[0, 0, 0, 1]",100,0.6,512
256,10.0,25957,1.4333003440115135,"[0, 0, 0, 1]",100,0.6,512
512,10.0,50702,2.8075686449883506,"[0, 0, 0, 1]",100,0.6,512
0,7.5,150,0.00291703300899826,"[1, 1, 0, 0]",150,0.4,512
1,10.0,302,0.013765531009994447,"[0, 0, 0, 1]",150,0.4,512
2,10.0,453,0.024631429027067497,"[0, 0, 0, 1]",150,0.4,512
4,10.0,755,0.04377629002556205,"[0, 0, 0, 1]",150,0.4,512
8,10.0,1359,0.07915558901731856,"[0, 0, 0, 1]",150,0.4,512
16,10.0,2567,0.14741241300362162,"[0, 0, 0, 1]",150,0.4,512
32,10.0,4983,0.2814309259993024,"[0, 0, 0, 1]",150,0.4,512
64,10.0,9815,0.5551288980059326,"[0, 0, 0, 1]",150,0.4,512
128,10.0,19479,1.0865997330110986,"[0, 0, 0, 1]",150,0.4,512
256,10.0,38807,2.1349796060239896,"[0, 0, 0, 1]",150,0.4,512
512,10.0,75802,4.160524290025933,"[0, 0, 0, 1]",150,0.4,512
0,7.5,150,0.0029580999980680645,"[1, 1, 0, 0]",150,0.5,512
1,10.0,302,0.014350362005643547,"[0, 0, 0, 1]",150,0.5,512
2,10.0,453,0.025996295997174457,"[0, 0, 0, 1]",150,0.5,512
4,10.0,755,0.04538971700822003,"[0, 0, 0, 1]",150,0.5,512
8,10.0,1359,0.08149483500164934,"[0, 0, 0, 1]",150,0.5,512
16,10.0,2567,0.15003888099454343,"[0, 0, 0, 1]",150,0.5,512
32,10.0,4983,0.28652628100826405,"[0, 0, 0, 1]",150,0.5,512
64,10.0,9815,0.5583504090027418,"[0, 0, 0, 1]",150,0.5,512
128,10.0,19479,1.0878484240092803,"[0, 0, 0, 1]",150,0.5,512
256,10.0,38807,2.1451296580198687,"[0, 0, 0, 1]",150,0.5,512
512,10.0,75802,4.1968469849962275,"[0, 0, 0, 1]",150,0.5,512
0,7.5,150,0.0029938660154584795,"[1, 1, 0, 0]",150,0.6,512
1,10.0,302,0.015543900022748858,"[0, 0, 0, 1]",150,0.6,512
2,10.0,453,0.02814049500739202,"[0, 0, 0, 1]",150,0.6,512
4,10.0,755,0.04931139599648304,"[0, 0, 0, 1]",150,0.6,512
8,10.0,1359,0.08703768401755951,"[0, 0, 0, 1]",150,0.6,512
16,10.0,2567,0.15770581000833772,"[0, 0, 0, 1]",150,0.6,512
32,10.0,4983,0.29279903901624493,"[0, 0, 0, 1]",150,0.6,512
64,10.0,9815,0.5607885490171611,"[0, 0, 0, 1]",150,0.6,512
128,10.0,19479,1.1009753220132552,"[0, 0, 0, 1]",150,0.6,512
256,10.0,38807,2.187608784995973,"[0, 0, 0, 1]",150,0.6,512
512,10.0,75802,4.2675980500062,"[0, 0, 0, 1]",150,0.6,512
0,7.5,200,0.003948042984120548,"[1, 1, 0, 0]",200,0.4,512
1,10.0,402,0.019482859002891928,"[0, 0, 0, 1]",200,0.4,512
2,10.0,603,0.03542400000151247,"[0, 0, 0, 1]",200,0.4,512
4,10.0,1005,0.0621145739860367,"[0, 0, 0, 1]",200,0.4,512
8,10.0,1809,0.10982165700988844,"[0, 0, 0, 1]",200,0.4,512
