Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters,fast_mimic
0,7.5,150,0.0030305589898489416,"[1, 1, 0, 0]",False,150,0.25,512,True
1,10.0,302,0.010991903982358053,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
2,10.0,453,0.019365419982932508,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
4,10.0,755,0.03516051999758929,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
8,10.0,1359,0.06576831100392155,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
16,10.0,2567,0.1256916490092408,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
32,10.0,4983,0.2476823820034042,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
64,10.0,9815,0.49132300799828954,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
128,10.0,19479,0.9656626060022973,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
256,10.0,38807,1.8961513679823838,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
512,10.0,75802,3.6622223900048994,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
0,7.5,150,0.002971923997392878,"[1, 1, 0, 0]",False,150,0.5,512,True
1,10.0,302,0.01230910699814558,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
2,10.0,453,0.02170531899901107,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
4,10.0,755,0.03853743599029258,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
8,10.0,1359,0.07058793300529942,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
16,10.0,2567,0.1329788559814915,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
32,10.0,4983,0.25683318299707025,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
64,10.0,9815,0.49844516700250097,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
128,10.0,19479,0.9751462650019675,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
256,10.0,38807,1.9199139949923847,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
512,10.0,75802,3.7046187529922463,"[0.0, 0.0, 0.0, 1.0]",False,150,0.5,512,True
0,7.5,150,0.002960390003863722,"[1, 1, 0, 0]",False,150,0.75,512,True
1,10.0,302,0.01235520699992776,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
2,10.0,453,0.02281135000521317,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
4,10.0,755,0.04034207700169645,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
8,10.0,1359,0.07312069801264443,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
16,10.0,2567,0.1364369690127205,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
32,10.0,4983,0.2590752420073841,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
64,10.0,9815,0.5019662629929371,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
128,10.0,19479,0.9763796979968902,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
256,10.0,38807,1.9093890380172525,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
512,10.0,75802,3.6886198339925613,"[0.0, 0.0, 0.0, 1.0]",False,150,0.75,512,True
0,7.5,200,0.0038276569976005703,"[1, 1, 0, 0]",False,200,0.25,512,True
1,10.0,402,0.014672732999315485,"[0.0, 0.0, 0.0, 1.0]",False,200,0.25,512,True
2,10.0,603,0.026351464999606833,"[0.0, 0.0, 0.0, 1.0]",False,200,0.25,512,True
4,10.0,1005,0.04498231300385669,"[0.0, 0.0, 0.0, 1.0]",False,200,0.25,512,True
8,10.0,1809,0.07985717701376416,"[0.0, 0.0, 0.0, 1.0]",False,200,0.25,512,True
16,10.0,3417,0.14769250500830822,"[0.0, 0.0, 0.0, 1.0]",False,200,0.25,512,True
32,10.0,6633,0.2781323030067142,"[0.0, 0.0, 0.0, 1.0]",False,200,0.25,512,True
64,10.0,13065,0.5366160880075768,"[0.0, 0.0, 0.0, 1.0]",False,200,0.25,512,True
128,10.0,25929,1.0495251039974391,"[0.0, 0.0, 0.0, 1.0]",False,200,0.25,512,True
256,10.0,51657,2.0454580490186345,"[0.0, 0.0, 0.0, 1.0]",False,200,0.25,512,True
512,10.0,100902,3.938611159013817,"[0.0, 0.0, 0.0, 1.0]",False,200,0.25,512,True
0,7.5,200,0.0037780679995194077,"[1, 1, 0, 0]",False,200,0.5,512,True
1,10.0,402,0.015055435011163354,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
2,10.0,603,0.026834449003217742,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
4,10.0,1005,0.04709907199139707,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
8,10.0,1809,0.08390261401655152,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
16,10.0,3417,0.15341046499088407,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
32,10.0,6633,0.2888285620138049,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
64,10.0,13065,0.5513469960133079,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
128,10.0,25929,1.0662933870044071,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
256,10.0,51657,2.066250300005777,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
512,10.0,100902,3.9513086680090055,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
0,7.5,200,0.0037778840051032603,"[1, 1, 0, 0]",False,200,0.75,512,True
1,10.0,402,0.01586037501692772,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
2,10.0,603,0.028499909007223323,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
4,10.0,1005,0.04945683301775716,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
8,10.0,1809,0.08580199399148114,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
16,10.0,3417,0.1549773250008002,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
32,10.0,6633,0.2900453220063355,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
64,10.0,13065,0.5520582780009136,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
128,10.0,25929,1.0663999289972708,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
256,10.0,51657,2.069743425992783,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
512,10.0,100902,3.979440358991269,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
0,7.5,250,0.004867932992056012,"[1, 1, 0, 0]",False,250,0.25,512,True
1,10.0,502,0.018388219992630184,"[0.0, 0.0, 0.0, 1.0]",False,250,0.25,512,True
2,10.0,753,0.03225662698969245,"[0.0, 0.0, 0.0, 1.0]",False,250,0.25,512,True
4,10.0,1255,0.054754583979956806,"[0.0, 0.0, 0.0, 1.0]",False,250,0.25,512,True
8,10.0,2259,0.09394329899805598,"[0.0, 0.0, 0.0, 1.0]",False,250,0.25,512,True
16,10.0,4267,0.16802972700679675,"[0.0, 0.0, 0.0, 1.0]",False,250,0.25,512,True
32,10.0,8283,0.3078189129882958,"[0.0, 0.0, 0.0, 1.0]",False,250,0.25,512,True
64,10.0,16315,0.5846387979981955,"[0.0, 0.0, 0.0, 1.0]",False,250,0.25,512,True
128,10.0,32379,1.1346350919920951,"[0.0, 0.0, 0.0, 1.0]",False,250,0.25,512,True
256,10.0,64507,2.231936197000323,"[0.0, 0.0, 0.0, 1.0]",False,250,0.25,512,True
512,10.0,126002,4.308841638005106,"[0.0, 0.0, 0.0, 1.0]",False,250,0.25,512,True
0,7.5,250,0.004743447992950678,"[1, 1, 0, 0]",False,250,0.5,512,True
1,10.0,502,0.018853365996619686,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
2,10.0,753,0.033695030986564234,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
4,10.0,1255,0.05703370500123128,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
8,10.0,2259,0.09787114997743629,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
16,10.0,4267,0.17245145098422654,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
32,10.0,8283,0.3163771179970354,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
64,10.0,16315,0.5960286719782744,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
128,10.0,32379,1.1423873829771765,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
256,10.0,64507,2.2325530349917244,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
512,10.0,126002,4.299040212994441,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
0,7.5,250,0.004813497012946755,"[1, 1, 0, 0]",False,250,0.75,512,True
1,10.0,502,0.019749966013478115,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
2,10.0,753,0.03523714901530184,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
