Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0.0,0,9.552598930895329e-05,"[0, 1, 1, 0]",5,512,0
1,5.0,2,0.0008922639826778322,"[0, 1, 0, 0]",5,512,0
2,5.0,3,0.0016108099953271449,"[0, 1, 0, 0]",5,512,0
4,5.0,5,0.0024055859830696136,"[0, 1, 0, 0]",5,512,0
8,7.5,10,0.003241964994231239,"[1, 1, 0, 0]",5,512,0
16,7.5,18,0.004226388991810381,"[1, 1, 0, 0]",5,512,0
32,7.5,34,0.0055421459837816656,"[1, 1, 0, 0]",5,512,0
64,7.5,66,0.007778092985972762,"[1, 1, 0, 0]",5,512,0
128,7.5,130,0.01218335100566037,"[1, 1, 0, 0]",5,512,0
256,7.5,258,0.02338241398683749,"[1, 1, 0, 0]",5,512,0
512,7.5,507,0.055602362990612164,"[1, 1, 0, 0]",5,512,0
0,0.0,507,0.057449237996479496,"[1, 0, 1, 1]",5,512,1
1,0.0,508,0.05888217699248344,"[1, 0, 1, 1]",5,512,1
2,0.0,509,0.060337320988764986,"[1, 0, 1, 1]",5,512,1
4,0.0,511,0.06195139299961738,"[1, 0, 1, 1]",5,512,1
8,10.0,516,0.06390650998218916,"[1, 0, 1, 0]",5,512,1
16,10.0,524,0.06777028800570406,"[1, 0, 1, 0]",5,512,1
32,10.0,540,0.07331903200247325,"[1, 0, 1, 0]",5,512,1
64,10.0,572,0.0813787849911023,"[1, 0, 1, 0]",5,512,1
128,10.0,636,0.0945292729884386,"[1, 0, 1, 0]",5,512,1
256,10.0,764,0.1220054839795921,"[1, 0, 1, 0]",5,512,1
512,10.0,1013,0.18661052198149264,"[1, 0, 1, 0]",5,512,1
0,0.0,1013,0.1893061199807562,"[1, 1, 1, 1]",5,512,2
1,0.0,1014,0.19181820799713023,"[1, 1, 1, 1]",5,512,2
2,0.0,1015,0.19443504299852066,"[1, 1, 1, 1]",5,512,2
4,0.0,1017,0.19711641100002453,"[1, 1, 1, 1]",5,512,2
8,0.0,1021,0.20028485599323176,"[1, 1, 1, 1]",5,512,2
16,0.0,1029,0.20469236199278384,"[1, 1, 1, 1]",5,512,2
32,0.0,1045,0.21156341599998996,"[1, 1, 1, 1]",5,512,2
64,0.0,1077,0.22421030898112804,"[1, 1, 1, 1]",5,512,2
128,0.0,1141,0.24914523898041807,"[1, 1, 1, 1]",5,512,2
256,0.0,1269,0.2954304029990453,"[1, 1, 1, 1]",5,512,2
512,0.0,1513,0.39285831098095514,"[1, 1, 1, 1]",5,512,2
0,10.0,1513,0.39597587200114504,"[1, 0, 1, 0]",5,512,3
1,10.0,1514,0.399206622998463,"[1, 0, 1, 0]",5,512,3
2,10.0,1515,0.40265266998903826,"[1, 0, 1, 0]",5,512,3
4,10.0,1517,0.4063133409945294,"[1, 0, 1, 0]",5,512,3
8,10.0,1521,0.41068682898185216,"[1, 0, 1, 0]",5,512,3
16,10.0,1529,0.41692463197978213,"[1, 0, 1, 0]",5,512,3
32,10.0,1545,0.42652268399251625,"[1, 0, 1, 0]",5,512,3
64,10.0,1577,0.4432001789973583,"[1, 0, 1, 0]",5,512,3
128,10.0,1641,0.4746953419817146,"[1, 0, 1, 0]",5,512,3
256,10.0,1769,0.5372963699919637,"[1, 0, 1, 0]",5,512,3
512,10.0,2013,0.6656604419986252,"[1, 0, 1, 0]",5,512,3
0,0.0,2013,0.6695567109854892,"[1, 1, 1, 0]",5,512,4
1,0.0,2014,0.6736615769914351,"[1, 1, 1, 0]",5,512,4
2,7.5,2016,0.6781746089982335,"[1, 1, 0, 0]",5,512,4
4,7.5,2018,0.6828213910048362,"[1, 1, 0, 0]",5,512,4
8,7.5,2022,0.6887036059924867,"[1, 1, 0, 0]",5,512,4
16,7.5,2030,0.6967143100046087,"[1, 1, 0, 0]",5,512,4
32,7.5,2046,0.7090917429886758,"[1, 1, 0, 0]",5,512,4
64,7.5,2078,0.7307442830060609,"[1, 1, 0, 0]",5,512,4
128,7.5,2142,0.7714768659789115,"[1, 1, 0, 0]",5,512,4
256,7.5,2270,0.8518026349775027,"[1, 1, 0, 0]",5,512,4
512,7.5,2516,1.01185703498777,"[1, 1, 0, 0]",5,512,4
0,10.0,2516,1.0166093919833656,"[1, 0, 1, 0]",5,512,5
1,10.0,2517,1.0211972089891788,"[1, 0, 1, 0]",5,512,5
2,10.0,2518,1.026111982006114,"[1, 0, 1, 0]",5,512,5
4,10.0,2520,1.0316811119846534,"[1, 0, 1, 0]",5,512,5
8,10.0,2524,1.0382873479975387,"[1, 0, 1, 0]",5,512,5
