Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0.0,0,8.369798888452351e-05,"[0, 0, 1, 1]",geometric,1,0.99,0.001,0.9999991588074553,1,512
1,0.0,2,0.001184519991511479,"[1, 0, 1, 1]",geometric,1,0.99,0.001,0.9999880952471223,1,512
2,0.0,4,0.002051318995654583,"[1, 1, 1, 1]",geometric,1,0.99,0.001,0.9999793837676685,1,512
4,0.0,8,0.0030144100019242615,"[1, 0, 0, 1]",geometric,1,0.99,0.001,0.9999697046259947,1,512
8,10.0,14,0.00402130899601616,"[1, 0, 1, 0]",geometric,1,0.99,0.001,0.9999595853107149,1,512
16,10.0,22,0.005219378013862297,"[1, 0, 1, 0]",geometric,1,0.99,0.001,0.9999475448738325,1,512
32,10.0,38,0.006798529997467995,"[1, 0, 1, 0]",geometric,1,0.99,0.001,0.9999316748244865,1,512
64,10.0,70,0.009502135013462976,"[1, 0, 1, 0]",geometric,1,0.99,0.001,0.9999045049117357,1,512
128,10.0,134,0.015597910998621956,"[1, 0, 1, 0]",geometric,1,0.99,0.001,0.9998432480427228,1,512
256,10.0,262,0.028706379991490394,"[1, 0, 1, 0]",geometric,1,0.99,0.001,0.9997115328545975,1,512
512,10.0,512,0.06345390499336645,"[1, 0, 1, 0]",geometric,1,0.99,0.001,0.999362470252105,1,512
0,0.0,0,7.721898145973682e-05,"[0, 0, 1, 1]",geometric,10,0.99,0.001,9.999992239236033,10,512
1,0.0,2,0.0013846269866917282,"[1, 0, 1, 1]",geometric,10,0.99,0.001,9.999860841305786,10,512
2,0.0,4,0.0026919929950963706,"[1, 1, 1, 1]",geometric,10,0.99,0.001,9.999729449322789,10,512
4,0.0,8,0.004224108997732401,"[1, 0, 0, 1]",geometric,10,0.99,0.001,9.99957547187037,10,512
8,7.5,15,0.005864621984073892,"[0, 0, 1, 0]",geometric,10,0.99,0.001,9.999410603164176,10,512
16,0.0,29,0.007579097989946604,"[1, 1, 1, 0]",geometric,10,0.99,0.001,9.999238304207841,10,512
32,10.0,58,0.009781372005818412,"[1, 0, 1, 0]",geometric,10,0.99,0.001,9.999016987581172,10,512
64,5.0,107,0.012949223979376256,"[0, 1, 0, 0]",geometric,10,0.99,0.001,9.998698644183346,10,512
128,10.0,191,0.01848783399327658,"[0, 0, 0, 1]",geometric,10,0.99,0.001,9.998142083205758,10,512
256,10.0,323,0.031202243990264833,"[0, 0, 0, 1]",geometric,10,0.99,0.001,9.996864561336702,10,512
