Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0.0,100,0.002422080986434594,"[0, 1, 1, 0]",100,0.4,512
1,10.0,202,0.008803762990282848,"[1, 0, 1, 0]",100,0.4,512
2,10.0,303,0.014906647003954276,"[1, 0, 1, 0]",100,0.4,512
4,10.0,505,0.02640225298819132,"[1, 0, 1, 0]",100,0.4,512
8,10.0,909,0.04846990798250772,"[1, 0, 1, 0]",100,0.4,512
16,10.0,1717,0.09250081400386989,"[1, 0, 1, 0]",100,0.4,512
32,10.0,3333,0.17906231799861416,"[1, 0, 1, 0]",100,0.4,512
64,10.0,6565,0.35576136800227687,"[1, 0, 1, 0]",100,0.4,512
128,10.0,13029,0.7046616089937743,"[1, 0, 1, 0]",100,0.4,512
256,10.0,25957,1.3942610090016387,"[1, 0, 1, 0]",100,0.4,512
512,10.0,50702,2.7298737170058303,"[1, 0, 1, 0]",100,0.4,512
0,0.0,100,0.0020208180067129433,"[0, 1, 1, 0]",100,0.5,512
1,10.0,202,0.009224259993061423,"[1, 0, 1, 0]",100,0.5,512
2,10.0,303,0.016157917998498306,"[1, 0, 1, 0]",100,0.5,512
4,10.0,505,0.029069017997244373,"[1, 0, 1, 0]",100,0.5,512
8,10.0,909,0.052293306012870744,"[1, 0, 1, 0]",100,0.5,512
16,10.0,1717,0.0988674430118408,"[1, 0, 1, 0]",100,0.5,512
32,10.0,3333,0.18981172700296156,"[1, 0, 1, 0]",100,0.5,512
64,10.0,6565,0.3641227940097451,"[1, 0, 1, 0]",100,0.5,512
128,10.0,13029,0.7096326260070782,"[1, 0, 1, 0]",100,0.5,512
256,10.0,25957,1.4120156330172904,"[1, 0, 1, 0]",100,0.5,512
512,10.0,50702,2.765895424003247,"[1, 0, 1, 0]",100,0.5,512
0,0.0,100,0.0019945069798268378,"[0, 1, 1, 0]",100,0.6,512
1,10.0,202,0.009364776982693002,"[1, 0, 1, 0]",100,0.6,512
2,10.0,303,0.016758154990384355,"[1, 0, 1, 0]",100,0.6,512
4,10.0,505,0.029752764996374026,"[1, 0, 1, 0]",100,0.6,512
8,10.0,909,0.05339411000022665,"[1, 0, 1, 0]",100,0.6,512
16,10.0,1717,0.09876111100311391,"[1, 0, 1, 0]",100,0.6,512
32,10.0,3333,0.18938997999066487,"[1, 0, 1, 0]",100,0.6,512
64,10.0,6565,0.3736516329809092,"[1, 0, 1, 0]",100,0.6,512
