Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters,fast_mimic
0,0.0,150,0.003621598007157445,"[0, 0, 1, 1]",False,150,0.25,512,True
1,10.0,302,0.011801545042544603,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
2,10.0,453,0.02027016703505069,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
4,10.0,755,0.03612688899738714,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
8,10.0,1359,0.06745188101194799,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
16,10.0,2567,0.12849113903939724,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
32,10.0,4983,0.25569925003219396,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
64,10.0,9815,0.5362495790468529,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
128,10.0,19479,1.1322724430356175,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
256,10.0,38807,2.1421033900114708,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
512,10.0,75802,4.037520677025896,"[0.0, 0.0, 0.0, 1.0]",False,150,0.25,512,True
0,0.0,150,0.0029917010106146336,"[0, 0, 1, 1]",False,150,0.5,512,True
1,10.0,302,0.011934789014048874,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
2,10.0,453,0.022782763990107924,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
4,10.0,755,0.03995617700275034,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
8,10.0,1359,0.07218729297164828,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
16,10.0,2567,0.13604488095734268,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
32,10.0,4983,0.2569228099891916,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
64,10.0,9815,0.49311818997375667,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
128,10.0,19479,0.9632014119997621,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
256,10.0,38807,1.9042697519762442,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
512,10.0,75802,3.7211871210020036,"[1.0, 0.0, 1.0, 0.0]",False,150,0.5,512,True
0,0.0,150,0.0028908770182169974,"[0, 0, 1, 1]",False,150,0.75,512,True
1,10.0,302,0.012586484022904187,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
2,10.0,453,0.02255971700651571,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
4,10.0,755,0.04017976304749027,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
8,10.0,1359,0.0730623480048962,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
16,10.0,2567,0.13715722900815308,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
32,10.0,4983,0.26286335301119834,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
64,10.0,9815,0.5103646140196361,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
128,10.0,19479,0.9968317940365523,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
256,10.0,38807,1.9622207460342906,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
512,10.0,75802,3.752286228002049,"[1.0, 0.0, 1.0, 0.0]",False,150,0.75,512,True
0,0.0,200,0.003938397974707186,"[0, 0, 1, 1]",False,200,0.25,512,True
1,10.0,402,0.014642764988821,"[1.0, 0.0, 1.0, 0.0]",False,200,0.25,512,True
2,10.0,603,0.02583573298761621,"[1.0, 0.0, 1.0, 0.0]",False,200,0.25,512,True
4,10.0,1005,0.04495030298130587,"[1.0, 0.0, 1.0, 0.0]",False,200,0.25,512,True
8,10.0,1809,0.08060293697053567,"[1.0, 0.0, 1.0, 0.0]",False,200,0.25,512,True
16,10.0,3417,0.14508912898600101,"[1.0, 0.0, 1.0, 0.0]",False,200,0.25,512,True
32,10.0,6633,0.27190351096214727,"[1.0, 0.0, 1.0, 0.0]",False,200,0.25,512,True
64,10.0,13065,0.5197017149766907,"[1.0, 0.0, 1.0, 0.0]",False,200,0.25,512,True
128,10.0,25929,1.0182618609978817,"[1.0, 0.0, 1.0, 0.0]",False,200,0.25,512,True
256,10.0,51657,2.0145458210026845,"[1.0, 0.0, 1.0, 0.0]",False,200,0.25,512,True
512,10.0,100902,3.996573921991512,"[1.0, 0.0, 1.0, 0.0]",False,200,0.25,512,True
0,0.0,200,0.003847848973236978,"[0, 0, 1, 1]",False,200,0.5,512,True
1,10.0,402,0.015411641972605139,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
2,10.0,603,0.02747141197323799,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
4,10.0,1005,0.04723459400702268,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
8,10.0,1809,0.08477912400849164,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
16,10.0,3417,0.15447946399217471,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
32,10.0,6633,0.2908373199752532,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
64,10.0,13065,0.5516806910163723,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
128,10.0,25929,1.0597095909761265,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
256,10.0,51657,2.0782375420094468,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
512,10.0,100902,4.063189679989591,"[1.0, 0.0, 1.0, 0.0]",False,200,0.5,512,True
0,0.0,200,0.003974498948082328,"[0, 0, 1, 1]",False,200,0.75,512,True
1,10.0,402,0.01702043297700584,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
2,10.0,603,0.030118490976747125,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
4,10.0,1005,0.05174733995227143,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
8,10.0,1809,0.09037061495473608,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
16,10.0,3417,0.16320856095990166,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
32,10.0,6633,0.3032165359472856,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
64,10.0,13065,0.5775244239484891,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
128,10.0,25929,1.1657132449909113,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
256,10.0,51657,2.2063265569740906,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
512,10.0,100902,4.55832922499394,"[1.0, 0.0, 1.0, 0.0]",False,200,0.75,512,True
0,0.0,250,0.005227944988291711,"[0, 0, 1, 1]",False,250,0.25,512,True
1,10.0,502,0.019347629975527525,"[1.0, 0.0, 1.0, 0.0]",False,250,0.25,512,True
2,10.0,753,0.03396681300364435,"[1.0, 0.0, 1.0, 0.0]",False,250,0.25,512,True
4,10.0,1255,0.05794994701864198,"[1.0, 0.0, 1.0, 0.0]",False,250,0.25,512,True
8,10.0,2259,0.10238117998233065,"[1.0, 0.0, 1.0, 0.0]",False,250,0.25,512,True
16,10.0,4267,0.18240287399385124,"[1.0, 0.0, 1.0, 0.0]",False,250,0.25,512,True
32,10.0,8283,0.3316621850244701,"[1.0, 0.0, 1.0, 0.0]",False,250,0.25,512,True
64,10.0,16315,0.6208681149873883,"[1.0, 0.0, 1.0, 0.0]",False,250,0.25,512,True
128,10.0,32379,1.1903836430283263,"[1.0, 0.0, 1.0, 0.0]",False,250,0.25,512,True
256,10.0,64507,2.351386501977686,"[1.0, 0.0, 1.0, 0.0]",False,250,0.25,512,True
512,10.0,126002,4.5061476869741455,"[1.0, 0.0, 1.0, 0.0]",False,250,0.25,512,True
0,0.0,250,0.004956541990395635,"[0, 0, 1, 1]",False,250,0.5,512,True
1,10.0,502,0.01945847796741873,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
2,10.0,753,0.03449206496588886,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
4,10.0,1255,0.05799859401304275,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
8,10.0,2259,0.09993696102173999,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
16,10.0,4267,0.17554322798969224,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
32,10.0,8283,0.32175707299029455,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
64,10.0,16315,0.6044700749916956,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
128,10.0,32379,1.1671666110050865,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
256,10.0,64507,2.30091737996554,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
512,10.0,126002,4.459969234012533,"[0.0, 0.0, 0.0, 1.0]",False,250,0.5,512,True
0,0.0,250,0.00508073897799477,"[0, 0, 1, 1]",False,250,0.75,512,True
1,10.0,502,0.020712933968752623,"[0.0, 0.0, 0.0, 1.0]",False,250,0.75,512,True
