Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0.0,0,8.846397395245731e-05,"[0, 1, 1, 0]",5,512,0
1,5.0,2,0.0010726679756771773,"[0, 1, 0, 0]",5,512,0
2,5.0,3,0.0017688529915176332,"[0, 1, 0, 0]",5,512,0
4,5.0,5,0.002630244998726994,"[0, 1, 0, 0]",5,512,0
8,7.5,10,0.0035325069911777973,"[1, 1, 0, 0]",5,512,0
16,7.5,18,0.004466704995138571,"[1, 1, 0, 0]",5,512,0
32,7.5,34,0.005706495983758941,"[1, 1, 0, 0]",5,512,0
64,7.5,66,0.007719256973359734,"[1, 1, 0, 0]",5,512,0
128,7.5,130,0.011862618994200602,"[1, 1, 0, 0]",5,512,0
256,7.5,258,0.022796941979322582,"[1, 1, 0, 0]",5,512,0
512,7.5,507,0.05501658498542383,"[1, 1, 0, 0]",5,512,0
0,0.0,507,0.057163140998454764,"[1, 0, 1, 1]",5,512,1
1,0.0,508,0.059025096998084337,"[1, 0, 1, 1]",5,512,1
2,0.0,509,0.06055654399096966,"[1, 0, 1, 1]",5,512,1
4,0.0,511,0.06218879699008539,"[1, 0, 1, 1]",5,512,1
8,10.0,516,0.0641425009816885,"[1, 0, 1, 0]",5,512,1
16,10.0,524,0.06679444399196655,"[1, 0, 1, 0]",5,512,1
32,10.0,540,0.0712151619954966,"[1, 0, 1, 0]",5,512,1
64,10.0,572,0.07849747900036164,"[1, 0, 1, 0]",5,512,1
128,10.0,636,0.09221780297229998,"[1, 0, 1, 0]",5,512,1
256,10.0,764,0.12106454899185337,"[1, 0, 1, 0]",5,512,1
512,10.0,1013,0.18825135598308407,"[1, 0, 1, 0]",5,512,1
0,0.0,1013,0.1911623999767471,"[1, 1, 1, 1]",5,512,2
1,0.0,1014,0.1936419179837685,"[1, 1, 1, 1]",5,512,2
2,0.0,1015,0.1959394839941524,"[1, 1, 1, 1]",5,512,2
4,0.0,1017,0.19849116398836486,"[1, 1, 1, 1]",5,512,2
8,0.0,1021,0.20172188797732815,"[1, 1, 1, 1]",5,512,2
16,0.0,1029,0.2065833849774208,"[1, 1, 1, 1]",5,512,2
32,0.0,1045,0.2134687869984191,"[1, 1, 1, 1]",5,512,2
64,0.0,1077,0.22604828397743404,"[1, 1, 1, 1]",5,512,2
128,0.0,1141,0.24934667299385183,"[1, 1, 1, 1]",5,512,2
256,0.0,1269,0.2963532579888124,"[1, 1, 1, 1]",5,512,2
