Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,12.0,0,9.279398364014924e-05,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,1,0.99,0.001,0.9999990673897341,1,512
1,12.0,2,0.00108315100078471,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,1,0.99,0.001,0.9999891140279147,1,512
2,12.0,4,0.001996740000322461,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,1,0.99,0.001,0.9999799322937437,1,512
4,12.0,7,0.002928831003373489,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]",geometric,1,0.99,0.001,0.999970564697985,1,512
8,13.0,12,0.003935218002879992,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]",geometric,1,0.99,0.001,0.9999604505195157,1,512
16,17.0,26,0.005169228999875486,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1]",geometric,1,0.99,0.001,0.9999480488619547,1,512
32,18.0,50,0.006778965995181352,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1]",geometric,1,0.99,0.001,0.999931871435865,1,512
64,20.0,97,0.009254346980014816,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1,0.99,0.001,0.9999069950299764,1,512
128,23.0,170,0.014321855996968225,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1,0.99,0.001,0.9998560708959724,1,512
256,23.0,311,0.025908735988195986,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,1,0.99,0.001,0.9997396424007027,1,512
