Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,7.5,0,0.00011946199811063707,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.999998799367518,1,512
1,7.5,1,0.0010696779936552048,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999892494346964,1,512
2,7.5,2,0.001996686012716964,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999799328363265,1,512
4,7.5,4,0.003055622015381232,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999692904440521,1,512
8,7.5,8,0.004174055007752031,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999580502252176,1,512
16,7.5,16,0.0055013750097714365,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999447108619964,1,512
32,7.5,32,0.007319425989408046,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9999264400162199,1,512
64,7.5,64,0.010018928995123133,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9998993114681372,1,512
128,7.5,128,0.014868352998746559,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9998505792231706,1,512
256,7.5,256,0.026683926989790052,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.9997318535295552,1,512
512,7.5,500,0.059984013001667336,"[1, 1, 0, 0]",geometric,1,0.99,0.001,0.999397322206755,1,512
0,7.5,0,7.945101242512465e-05,"[1, 1, 0, 0]",geometric,10,0.99,0.001,9.9999920149096,10,512
1,0.0,2,0.0013902060163673013,"[1, 1, 0, 1]",geometric,10,0.99,0.001,9.999860280602384,10,512
2,0.0,4,0.0027358559891581535,"[1, 0, 0, 1]",geometric,10,0.99,0.001,9.999725041064812,10,512
4,0.0,8,0.004123546008486301,"[0, 1, 0, 1]",geometric,10,0.99,0.001,9.999585578364576,10,512
8,10.0,13,0.0055587190145161,"[0, 0, 0, 1]",geometric,10,0.99,0.001,9.999441345675203,10,512
16,7.5,26,0.007282481004949659,"[1, 1, 0, 0]",geometric,10,0.99,0.001,9.999268112984772,10,512
32,7.5,55,0.009441945992875844,"[0, 0, 1, 0]",geometric,10,0.99,0.001,9.999051097740232,10,512
64,10.0,101,0.012540668016299605,"[0, 0, 0, 1]",geometric,10,0.99,0.001,9.998739700170546,10,512
128,0.0,197,0.018466364010237157,"[1, 1, 1, 0]",geometric,10,0.99,0.001,9.998144240610493,10,512
256,10.0,345,0.03134130299440585,"[0, 0, 0, 1]",geometric,10,0.99,0.001,9.996850589831572,10,512
512,10.0,601,0.06752832399797626,"[0, 0, 0, 1]",geometric,10,0.99,0.001,9.993215479169603,10,512
0,7.5,0,8.24430026113987e-05,"[1, 1, 0, 0]",geometric,50,0.99,0.001,49.99995857102391,50,512
1,0.0,2,0.0018909110222011805,"[1, 1, 0, 1]",geometric,50,0.99,0.001,49.99904979448691,50,512
2,0.0,4,0.003777300997171551,"[1, 0, 0, 1]",geometric,50,0.99,0.001,49.998101878847486,50,512
4,0.0,8,0.005658920999849215,"[0, 1, 0, 1]",geometric,50,0.99,0.001,49.99715637803408,50,512
8,0.0,16,0.007597340998472646,"[1, 1, 1, 1]",geometric,50,0.99,0.001,49.9961823543202,50,512
16,10.0,31,0.009748020995175466,"[0, 0, 0, 1]",geometric,50,0.99,0.001,49.9951016957041,50,512
32,0.0,60,0.012564609001856297,"[1, 0, 0, 1]",geometric,50,0.99,0.001,49.993686471623136,50,512
64,0.0,121,0.01631050099967979,"[1, 0, 1, 1]",geometric,50,0.99,0.001,49.991804371107456,50,512
128,0.0,242,0.022849183005746454,"[0, 0, 1, 1]",geometric,50,0.99,0.001,49.988519220125575,50,512
